type,risk_level,risk_score,size,whale_count,total_amount,description
common_source,HIGH,0.627,38,0,2392782443.702904,38 wallets
common_source,MEDIUM,0.487,3,0,161738179.9921017,3 wallets
common_source,MEDIUM,0.588,8,0,232878661.87962338,8 wallets
common_source,MEDIUM,0.508,4,0,473169059.78055876,4 wallets
common_source,HIGH,0.627,39,0,39042687313.129196,39 wallets
common_source,MEDIUM,0.487,3,0,60659242366.61905,3 wallets
common_source,HIGH,0.627,93,0,31825130899.72,93 wallets
common_source,HIGH,0.607,9,0,85970321258.29001,9 wallets
common_source,MEDIUM,0.508,4,0,33708174339.930004,4 wallets
common_source,HIGH,0.627,13,0,156210849685.07,13 wallets
common_source,HIGH,0.627,18,0,452299491.20603764,18 wallets
common_source,HIGH,0.627,61,0,43877838482.689995,61 wallets
common_source,MEDIUM,0.508,4,0,6399981.880108576,4 wallets
common_source,MEDIUM,0.487,3,0,7528934.19864347,3 wallets
common_source,HIGH,0.627,108,0,1314601222863.13,108 wallets
common_source,MEDIUM,0.567,7,0,10822585007.4,7 wallets
common_source,HIGH,0.627,130,0,629688555201.5181,130 wallets
common_source,HIGH,0.627,16,0,3432030237.1371703,16 wallets
common_source,HIGH,0.627,19,0,127598650267.20241,19 wallets
common_source,HIGH,0.627,23,0,3995576939.799935,23 wallets
common_source,HIGH,0.627,13,0,23829753143.444466,13 wallets
common_source,MEDIUM,0.487,3,0,5230391.47780997,3 wallets
common_source,HIGH,0.627,14,0,275629049.9060253,14 wallets
common_source,HIGH,0.627,34,0,2285261825.94482,34 wallets
common_source,HIGH,0.627,33,0,737032787.5895436,33 wallets
common_source,HIGH,0.627,11,0,371306723.2349623,11 wallets
common_source,MEDIUM,0.508,4,0,8140540.700296353,4 wallets
common_source,HIGH,0.627,84,0,22042172796.63,84 wallets
common_source,HIGH,0.627,41,0,20312859136.68143,41 wallets
common_source,MEDIUM,0.567,7,0,50003412.46655578,7 wallets
common_source,HIGH,0.627,13,0,24853544.652919564,13 wallets
common_source,HIGH,0.627,17,0,5762980831.733652,17 wallets
common_source,HIGH,0.627,16,0,10478088912.466688,16 wallets
common_source,MEDIUM,0.508,4,0,8616830327.332153,4 wallets
common_source,MEDIUM,0.487,3,0,10793720.22,3 wallets
common_source,HIGH,0.627,51,0,26277797749.70994,51 wallets
common_source,MEDIUM,0.547,6,0,22472156.211276732,6 wallets
common_source,HIGH,0.627,25,0,42300210203.83,25 wallets
common_source,HIGH,0.627,29,0,1349297885.58945,29 wallets
common_source,MEDIUM,0.508,4,0,14635340.455413217,4 wallets
common_source,HIGH,0.627,23,0,88636920542.0,23 wallets
common_source,HIGH,0.627,39,0,2856860600.694762,39 wallets
common_source,MEDIUM,0.508,4,0,129617192.21160555,4 wallets
common_source,MEDIUM,0.567,7,0,1741190.6383075195,7 wallets
common_source,HIGH,0.627,21,0,31128636954.11724,21 wallets
common_source,MEDIUM,0.447,150,0,97.75670981622702,150 wallets
common_source,HIGH,0.627,30,0,723573497.6845748,30 wallets
common_source,HIGH,0.627,13,0,97307957.91622,13 wallets
common_source,HIGH,0.627,21,0,7491233443.130367,21 wallets
common_source,HIGH,0.627,14,0,35659191519.67341,14 wallets
common_source,MEDIUM,0.508,4,0,2720633826.016969,4 wallets
common_source,MEDIUM,0.567,7,0,20948529.061831865,7 wallets
common_source,HIGH,0.627,15,0,309625218.8277864,15 wallets
common_source,HIGH,0.627,26,0,390255598.863225,26 wallets
common_source,MEDIUM,0.528,5,0,3760161721.925516,5 wallets
common_source,MEDIUM,0.487,3,0,1151866801.51,3 wallets
common_source,HIGH,0.627,10,0,85278840.9928694,10 wallets
common_source,HIGH,0.627,17,0,4523937.04384847,17 wallets
common_source,HIGH,0.627,12,0,53464599.66900024,12 wallets
common_source,HIGH,0.627,76,0,1669469461.22492,76 wallets
common_source,HIGH,0.627,20,0,2343936471.8202486,20 wallets
common_source,HIGH,0.627,10,0,327401.08136715734,10 wallets
common_source,MEDIUM,0.487,3,0,4635609.781466756,3 wallets
common_source,HIGH,0.607,9,0,847850375.4301518,9 wallets
common_source,HIGH,0.627,23,0,429204665.59297746,23 wallets
common_source,HIGH,0.627,24,0,13065474041.548344,24 wallets
common_source,MEDIUM,0.588,8,0,21797553.432940107,8 wallets
common_source,MEDIUM,0.547,6,0,289842511.9183369,6 wallets
common_source,MEDIUM,0.508,4,0,2585004966.9955926,4 wallets
common_source,MEDIUM,0.547,6,0,124115924144.27228,6 wallets
common_source,HIGH,0.627,10,0,347421977.0346646,10 wallets
common_source,HIGH,0.627,24,0,1120696955.9325633,24 wallets
common_source,HIGH,0.627,25,0,178236022.36834523,25 wallets
common_source,HIGH,0.627,18,0,56090513376.0,18 wallets
common_source,MEDIUM,0.487,3,0,3003092.746874727,3 wallets
common_source,MEDIUM,0.567,7,0,171474589.64211762,7 wallets
common_source,MEDIUM,0.567,7,0,42320688.6851793,7 wallets
common_source,MEDIUM,0.567,7,0,2323298.30858338,7 wallets
common_source,HIGH,0.627,11,0,2177341523.1567473,11 wallets
common_source,MEDIUM,0.567,7,0,237357891.70156315,7 wallets
common_source,MEDIUM,0.528,5,0,86303677.88,5 wallets
common_source,MEDIUM,0.508,4,0,95926744.8193981,4 wallets
common_source,MEDIUM,0.528,5,0,54615844.660000004,5 wallets
common_source,HIGH,0.627,12,0,3096539041.709431,12 wallets
common_source,HIGH,0.607,9,0,812390929.439823,9 wallets
common_source,MEDIUM,0.567,7,0,22436606.78477588,7 wallets
common_source,MEDIUM,0.528,5,0,475998098.06,5 wallets
common_source,MEDIUM,0.508,4,0,15908970.269926721,4 wallets
common_source,HIGH,0.627,10,0,8319999.999999999,10 wallets
common_source,MEDIUM,0.588,8,0,1971544569.1099,8 wallets
common_source,MEDIUM,0.528,5,0,25221771.580000002,5 wallets
common_source,HIGH,0.627,11,0,307811824.63283306,11 wallets
common_source,MEDIUM,0.588,8,0,42426986704.848015,8 wallets
common_source,MEDIUM,0.508,4,0,4400000000.0,4 wallets
common_source,MEDIUM,0.487,3,0,32188046.52584055,3 wallets
common_source,HIGH,0.627,11,0,10888216867.226034,11 wallets
common_source,MEDIUM,0.487,3,0,600463091.4117512,3 wallets
common_source,MEDIUM,0.508,4,0,2021796562.5257342,4 wallets
common_source,MEDIUM,0.487,3,0,130133748.44245169,3 wallets
